BasicParametersTableID;Active;Name;AbbreviationEN;AbbreviationRU;Measure
41;1;численность студентов экстерната магистратуры, поступивших из других регионов Российской Федерации;d_M_R_pk;d_М_Р_пк;чел
42;1;численность студентов - ОЧНИКОВ, обучающихся по программам специалитета;a_S_pk;a_С_пк;чел
43;1;численность студентов очной формы обучения специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;a_S_dco_pk_oz;а_С_дцо_пк_оз;чел
44;1;"численность студентов специалистов очной формы обучения;по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»";a_S_pk_oz;а_С_пк_оз;чел
45;1;численность иностранных студентов очной формы обучения, обучающихся по программам  специалитета;a_YYS_pr;а_ИИС_пр;чел
46;1;"численность студентов очной формы обучения; обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов)";a_S_pk_ys;а_С_пк_ис;чел
47;1;численность студентов - ОЧНО-ЗАОЧНИКОВ (ВЕЧЕРНИКОВ), обучающихся по программам специалитета;b_S_pk;b_С_пк;чел
48;1;численность студентов очно- заочной (вечерней) формы обучения специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры и целевом обучении;b_S_dco_pk_oz;b_С_дцо_пк_оз;чел
49;1;"численность студентов специалистов очно- заочной (вечерней) формы обучения;  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»";b_S_pk_oz;b_С_пк_оз;чел
50;1;численность иностранных студентов очно- заочной (вечерней) формы обучения, обучающихся по программам  специалитета;b_YYS_pr;b_ИИС_пр;чел
51;1;"численность студентов очно- заочной (вечерней) формы обучения; обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов)";b_S_pk_ys;b_С_пк_ис;чел
52;1;численность студентов - ЗАОЧНИКОВ, обучающихся по программам специалитета;c_S_pk;c_С_пк;чел
53;1;численность студентов заочной формы обучения, специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;c_S_dco_pk_oz;c_С_дцо_пк_оз;чел
54;1;численность студентов специалистов заочной формы обучения, по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;c_S_pk_oz;c_С_пк_оз;чел
55;1;численность иностранных студентов заочной формы обучения,, обучающихся по программам  специалитета;c_YYS_pr;c_ИИС_пр;чел
56;1;численность студентов заочной формы обучения, обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);c_S_pk_ys;c_С_пк_ис;чел
57;1;численность студентов - ЭКСТЕРНАТА, обучающихся по программам специалитета;d_S_pk;d_С_пк;чел
58;1;численность студентов экстерната специалитета  по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»  с которыми заключены договоры о целевом обучении;d_S_dco_pk_oz;d_С_дцо_пк_оз;чел
59;1;численность студентов специалистов экстерната, по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;d_S_pk_oz;d_С_пк_оз;чел
60;1;численность иностранных студентов экстерната, обучающихся по программам  специалитета;d_YYS_pr;d_ИИС_пр;чел
61;1;численность студентов экстерната обучающихся по программам специалитета (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);d_S_pk_ys;d_С_пк_ис;чел
62;1;численность иностранных студентов очной формы обучения, обучающихся по программам бакалавриата;a_YSB_pr;a_ИСБ_пр;чел
63;1;численность студентов - ОЧНИКОВ, обучающихся по программам бакалавриата;a_B_pk;а_Б_пк;чел
64;1;численность студентов бакалавриата, поступивших из других регионов Российской Федерации очной формы обучения;a_B_R_pk;а_Б_Р_пк;чел
65;1;численность студентов очной формы обучения бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»,  с которыми заключены договоры о целевом обучении;a_B_dco_pk_oz;а_Б_дцо_пк_оз;чел
66;1;численность студентов очной формы обучения бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;a_B_pk_oz;а_Б_пк_оз;чел
67;1;численность студентов очной формы обучения, обучающихся по программам бакалавриата (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);a_B_pk_ys;а_Б_пк_ис;чел
68;1;численность иностранных студентов очно- заочной (вечерней) формы обучения, обучающихся по программам бакалавриата;b_YSB_pr;b_ИСБ_пр;чел
69;1;численность студентов - ОЧНО-ЗАОЧНИКОВ (ВЕЧЕРНИКОВ), обучающихся по программам бакалавриата;b_B_pk;b_Б_пк;чел
70;1;численность студентов бакалавриата, поступивших из других регионов Российской Федерации очно- заочной (вечерней) формы обучения;b_B_R_pk;b_Б_Р_пк;чел
71;1;численность студентов очно- заочной (вечерней) формы обучения бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»,  с которыми заключены договоры о целевом обучении;b_B_dco_pk_oz;b_Б_дцо_пк_оз;чел
72;1;численность студентов очно- заочной (вечерней) формы обучения бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;b_B_pk_oz;b_Б_пк_оз;чел
73;1;численность студентов очно- заочной (вечерней) формы обучения, обучающихся по программам бакалавриата (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);b_B_pk_ys;b_Б_пк_ис;чел
74;1;численность иностранных студентов заочной формы обучения, обучающихся по программам бакалавриата;c_YSB_pr;c_ИСБ_пр;чел
75;1;численность студентов - ЗАОЧНИКОВ, обучающихся по программам бакалавриата;c_B_pk;c_Б_пк;чел
76;1;численность студентов бакалавриата, поступивших из других регионов Российской Федерации заочной формы обучения;c_B_R_pk;c_Б_Р_пк;чел
77;1;численность студентов заочной формы обучения, бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»,  с которыми заключены договоры о целевом обучении;c_B_dco_pk_oz;c_Б_дцо_пк_оз;чел
78;1;численность студентов заочной формы обучения бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;s_B_pk_oz;с_Б_пк_оз;чел
79;1;численность студентов заочной формы обучения , обучающихся по программам бакалавриата (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);s_B_pk_ys;с_Б_пк_ис;чел
80;1;численность иностранных студентов экстерната, обучающихся по программам бакалавриата;d_YSB_pr;d_ИСБ_пр;чел
81;1;численность студентов - ЭКСТЕРНАТА, обучающихся по программам бакалавриата;d_B_pk;d_Б_пк;чел
82;1;численность студентов бакалавриата, поступивших из других регионов Российской Федерации экстерната;d_B_R_pk;d_Б_Р_пк;чел
83;1;численность студентов  экстерната бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»,  с которыми заключены договоры о целевом обучении;d_B_dco_pk_oz;d_Б_дцо_пк_оз;чел
84;1;численность студентов экстерната) бакалавриата по областям знаний «Инженерное дело, технологии и технические науки», «Здравоохранение и медицинские науки», «Образование и педагогические науки»;d_B_pk_oz;d_Б_пк_оз;чел
85;1;численность студентов экстерната, обучающихся по программам бакалавриата (за вычетом тех специальностей где не предусмотрен прием иностранных студентов);d_B_pk_ys;d_Б_пк_ис;чел
86;1;Количество базовых кафедр, открытых на предприятиях и в организациях реального сектора экономики;80;80;штук
87;1;Количество дополнительных  профессиональных образовательных программ (ОП), реализуемых в формате сетевого взаимодействия (с федеральными университетами и иными научно-образовательными организациями);62;62;штук
88;1;Количество международных мероприятий, проведенных на базе университета;71;71;штук
89;1;Количество образовательных программ (ОП) бакалавров, реализуемых в формате сетевого взаимодействия (с федеральными университетами и иными научно-образовательными организациями);59;59;штук
90;1;Количество образовательных программ (ОП) магистров, реализуемых в формате сетевого взаимодействия (с федеральными университетами и иными научно-образовательными организациями);61;61;штук
91;1;Количество образовательных программ (ОП) специалистов, реализуемых в формате сетевого взаимодействия (с федеральными университетами и иными научно-образовательными организациями);60;60;штук
92;1;количество образовательных программ бакалавров, по которым осуществляется обучение студентов с особыми потребностями ;57;57;штук
93;1;количество образовательных программ дополнительного профессионального образования, по которым осуществляется обучение студентов с особыми потребностями ;57;57;штук
94;1;количество образовательных программ магистров, по которым осуществляется обучение студентов с особыми потребностями  ;57;57;штук
95;1;количество образовательных программ специалистов, по которым осуществляется обучение студентов с особыми потребностями  ;57;57;штук
96;1;Количество опубликованных за отчетный год статей в научной периодике, индексируемой в системах цитирования Web of Science и Scopus;KP_21;KП_21;штук
97;1;Количество публикаций в РИНЦ ;KP_65;КП_65;штук
98;1;количество публикаций в базах данных Web of Science и Scopus, опубликованных за последние 6 лет и вышедших в первые пять лет из этих шести лет (без исключения самоцитирования);KPS5;КПС5;штук
99;1;Общий объем средств НИОКР (научно-исследовательские и опытно-конструкторские разработки);NYOKR;НИОКР;штук
100;1;ООП бакалавров с использованием современных образовательных технологий (MOOC, электронное образование, активные методы обучения и др.) в учебном процессе;OOP;ООП;штук
101;1;ООП дополнительного профессионального образования с использованием современных образовательных технологий (MOOC, электронное образование, активные методы обучения и др.) в учебном процессе ;OOP;ООП;штук
102;1;ООП магистров с использованием современных образовательных технологий (MOOC, электронное образование, активные методы обучения и др.) в учебном процессе;OOP;ООП;штук
103;1;ООП специалистов с использованием современных образовательных технологий (MOOC, электронное образование, активные методы обучения и др.) в учебном процессе;OOP;ООП;штук
104;1;общий объем средств учреждения, полученных из бюджетных и внебюджетных источников;OOS;ООС;руб
105;1;Объем внебюджетных средств учреждения;OS_VNB;ОС_ВНБ;руб
106;1;Численность НПР, прошедших обучение по программам повышения квалификации в течение года;PK_NPR;ПК_НПР;чел
107;1;Средняя заработная плата по экономике региона (по данным Росстата);SZP;СЗП;руб
108;1;Cредний балл ЕГЭ студентов, принятых на обучение по очной форме обучения за счет средств федерального бюджета, по результатам ЕГЭ  за исключением лиц, принятых по результатам целевого приема ;SSB_EHYe;ССБ_ЕГЭ;баллов
109;1;Средний балл ЕГЭ студентов, принятых на обучение по очной форме обучения за счет средств федерального бюджета, по результатам ЕГЭ и дополнительных испытаний за исключением лиц, принятых по результатам целевого приема;SSB_EHYe_DY;ССБ_ЕГЭ_ДИ;баллов
110;1;общая средне списочная численность НПР;SCHNPR;СЧНПР;чел
111;1;фонд начисленной заработной платы НПР, включая работающих на условиях штатного совместительства (внешних совместителей), без работающих по договорам гражданско-правового характера,;OS_VNB;ОС_ВНБ;руб
112;1;численность принятых (по результатам ЕГЭ)  на общих основаниях на обучение по очной форме на программы бакалавриата за счет средств федерального бюджета, за исключением лиц поступивших без вступительных испытаний, в рамках квоты и целевого приема;CHB_EHYe;ЧБ_ЕГЭ;чел
113;1;численность принятых (по результатам ЕГЭ и доп испытаний)   на общих основаниях на обучение по очной форме на программы бакалавриата за счет средств федерального бюджета, за исключением лиц поступивших без вступительных испытаний, в рамках квоты и целевого приема;CHB_EHYe_DY ;ЧБ_ЕГЭ_ДИ ;чел
114;1;Численность зарубежных ведущих профессоров, преподавателей и исследователей, работающих в университете не менее 1 семестра;45;45;чел
115;1;численность ООП бакалавров ;58;58;чел
116;1;численность ООП дополнительного профессионального образования ;58;58;чел
117;1;численность ООП магистров ;58;58;чел
118;1;численность ООП специалистов ;58;58;чел
119;1;численность принятых (по результатам ЕГЭ)  на общих основаниях на обучение по очной форме на программы специалитета за счет средств федерального бюджета, за исключением лиц поступивших без вступительных испытаний, в рамках квоты и целевого приема;CHS_EHYe;ЧС_ЕГЭ;чел
120;1;численность принятых (по результатам ЕГЭ и доп испытаний)   на общих основаниях на обучение по очной форме на программы специалитета за счет средств федерального бюджета, за исключением лиц поступивших без вступительных испытаний, в рамках квоты и целевого приема;CHS_EHYe_DY;ЧС_ЕГЭ_ДИ;чел
121;1;число ставок научных работников внешних совместителей ,без работающих по договорам гражданско-правового характера;CHS_NR_vnsm ;ЧС_НР_внсм ;штук
122;1;число ставок научных работников  штатных ;CHS_NR_sh;ЧС_НР_ш;штук
123;1;число ставок внешних совместителей работников профессорско-преподавательского состава,без работающих по договорам гражданско-правового характера;CHS_PPS_vnsm;ЧС_ППС_внсм;штук
124;1;число ставок штатных работников профессорско-преподавательского состава;CHS_PPS_sh;ЧС_ППС_ш;штук
